[32m2026-09-21 00:44:06[0m | [1mINFO    [0m | [36mpipeline.utils.logging[0m:[36msetup_logging[0m:[36m57[0m - [1mLogging configured: level=INFO[0m
                              metric                              | value 
------------------------------------------------------------------+-------
 card_stats rows whose civilization differs from the site country | 35
 curated rows whose country is a NULL or empty                    | 0
 curated sites                                                    | 5004
 distinct country values (curated)                                | 96
 distinct values for this run (should be 2)                       | 2
 journal rows for the rollback stamp                              | 0
 journal rows for this run on non-curated rows                    | 0
 journal rows for this run outside unified_sites.country          | 0
 journal rows for this run stamp                                  | 35
 journal rows for this run with a site_id_ref of another site     | 0
 journal rows for this test id                                    | 35
 rows country = 'Chile'                                           | 11
 rows country = 'Chile, Easter Island'                            | 0
 rows country = 'Georgia'                                         | 30
 rows country = 'Georgia (country)'                               | 0


